job_id,titles,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay
74184604,"Software Deployment and Integration Engineer, Artificial Intelligence",ST Engineering Ltd,West Region,Information & Communication Technology,Other,Full time,,2024-03-04T04:03:10Z,16d ago
73161622,Senior Software Engineer (Mechanical Engineering & AI),TE Connectivity Singapore,Central Region,Engineering,Electrical/Electronic Engineering,Full time,,2023-12-15T20:01:00Z,30d+ ago
73864611,"AVP, Software Developer (AI Platform), Technology Group",GIC Private Limited,Central Region,Information & Communication Technology,Developers/Programmers,Full time,,2024-02-19T20:07:00Z,30d+ ago
73977356,Artificial Intelligence/Machine Learning Engineer,Singapore University of Social Sciences,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-02-23T02:56:00Z,26d ago
73711911,"School of Sports, Health & Leisure - Project Staff (IntelliCARE AI App)",Public Service Division,Central Region,Education & Training,Workplace Training & Assessment,Full time,,2024-02-13T10:12:00Z,30d+ ago
72312984,"Platform Operation Specialist , AI Data Search And Operations - Trust and Safety",TIKTOK PTE. LTD.,Central Region,Engineering,Electrical/Electronic Engineering,Full time,,2023-08-17T13:35:00Z,30d+ ago
72310322,Risk Services - AI Solution Specialist,PricewaterhouseCoopers,Central Region,Information & Communication Technology,Programme & Project Management,Full time,,2023-10-24T10:38:00Z,30d+ ago
73501739,"Product Policy Manager, AI Applications, Trust & Safety",TIKTOK PTE. LTD.,Central Region,Information & Communication Technology,Product Management & Development,Full time,,2024-02-02T23:46:00Z,30d+ ago
72410496,Research Engineer - AI & Networking Systems,Advanced Micro Devices (S) Pte Ltd,East Region,Education & Training,Research & Fellowships,Full time,,2023-12-22T12:38:00Z,30d+ ago
72315444,"Product Policy Manager, AI Applications, Trust & Safety",TIKTOK PTE. LTD.,Central Region,Marketing & Communications,Product Management & Development,Full time,,2023-09-20T07:05:00Z,30d+ ago
74238677,Project Officer (Computer Science/Electrical Engineering) [R00007740]./,Nanyang Technological University,Central Region,Education & Training,Research & Fellowships,Full time,,2024-03-06T02:23:05Z,14d ago
74238267,Project Officer (Computer Science/Electrical Engineering) [R00008361],Nanyang Technological University,Central Region,Education & Training,Research & Fellowships,Full time,,2024-03-06T02:09:21Z,14d ago
72310555,"Product Manager, AI Applications, Trust & Safety",TIKTOK PTE. LTD.,Central Region,Marketing & Communications,Product Management & Development,Full time,,2023-09-20T07:05:00Z,30d+ ago
74218839,"Research Engineer/Senior Research Engineer, Aural & Language Intelligence, I2R","Agency for Science, Technology and Research (A*STAR)",Central Region,Information & Communication Technology,Other,Full time,,2024-03-05T05:26:06Z,15d ago
74158937,System Engineer,Lincstech Circuit Singapore Pte. Ltd.,West Region,Engineering,Mechanical Engineering,Full time,,2024-03-01T12:52:00Z,19d ago
74224700,Marine Insurance GM,LOGISTIC PEOPLE (Asia Pacific) Pte Ltd,Central Region,Insurance & Superannuation,Underwriting,Full time,"$8,000 – $12,000 per month",2024-03-05T08:06:11Z,15d ago
74150789,Software Engineer (Vision),Talent Trader Group Pte Ltd,Central Region,Engineering,Electrical/Electronic Engineering,Full time,"$5,500 – $7,000 per month",2024-03-01T09:05:26Z,19d ago
74029442,Scientist – Machine Learning Engineer,BluMaiden Biosciences Pte. Ltd.,Central Region,Science & Technology,Biotechnology & Genetics,Full time,,2024-02-26T07:14:00Z,23d ago
